id,speech_source,noise_type,noise_source,snr_db,impulse_timestamp_sec
pair_00288,data/clean/LibriSpeech\dev-clean\8842\302196\8842-302196-0004.wav,nonstationary,data/clean/musan/music\fma-western-art\music-fma-wa-0084.wav,12.04,
pair_00289,data/clean/LibriSpeech\dev-clean\1272\128104\1272-128104-0009.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0346.wav,12.16,
pair_00290,data/clean/LibriSpeech\dev-clean\2412\153948\2412-153948-0004.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0617.wav + data/clean/SESA\train\explosion_064.wav,5.74,8.4121875
pair_00291,data/clean/LibriSpeech\dev-clean\6313\66129\6313-66129-0008.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0637.wav,7.55,
pair_00292,data/clean/LibriSpeech\dev-clean\6295\64301\6295-64301-0001.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0045.wav + data/clean/SESA\train\explosion_198.wav,-4.51,1.0484375
pair_00293,data/clean/LibriSpeech\dev-clean\2277\149897\2277-149897-0037.wav,impulsive,data/clean/SESA\train\explosion_131.wav,14.32,1.0608125
pair_00294,data/clean/LibriSpeech\dev-clean\6295\244435\6295-244435-0013.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0216.wav,-1.36,
pair_00295,data/clean/LibriSpeech\dev-clean\2902\9008\2902-9008-0008.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0784.wav,-4.92,
pair_00296,data/clean/LibriSpeech\dev-clean\3752\4943\3752-4943-0006.wav,impulsive,data/clean/SESA\test\explosion_046.wav,6.67,1.00275
pair_00297,data/clean/LibriSpeech\dev-clean\84\121550\84-121550-0005.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0646.wav + data/clean/SESA\train\explosion_202.wav,5.98,2.9376875
pair_00298,data/clean/LibriSpeech\dev-clean\3536\8226\3536-8226-0024.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0810.wav + data/clean/SESA\test\gunshot_041.wav,1.57,2.656
pair_00299,data/clean/LibriSpeech\dev-clean\2078\142845\2078-142845-0030.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0573.wav + data/clean/SESA\train\explosion_068.wav,11.09,0.9603125
pair_00300,data/clean/LibriSpeech\dev-clean\251\137823\251-137823-0026.wav,impulsive,data/clean/SESA\train\gunshot_094.wav,7.41,0.853
pair_00301,data/clean/LibriSpeech\dev-clean\3853\163249\3853-163249-0015.wav,impulsive,data/clean/SESA\train\explosion_058.wav,7.13,0.5776875
pair_00302,data/clean/LibriSpeech\dev-clean\5536\43359\5536-43359-0012.wav,nonstationary,data/clean/musan/music\fma\music-fma-0032.wav,13.43,
pair_00303,data/clean/LibriSpeech\dev-clean\7850\281318\7850-281318-0015.wav,stationary,data/clean/musan/noise\sound-bible\noise-sound-bible-0012.wav,7.86,
pair_00304,data/clean/LibriSpeech\dev-clean\5895\34615\5895-34615-0015.wav,impulsive,data/clean/SESA\train\explosion_076.wav,2.34,3.9304375
pair_00305,data/clean/LibriSpeech\dev-clean\5338\284437\5338-284437-0003.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0009.wav,3.98,
pair_00306,data/clean/LibriSpeech\dev-clean\6319\64726\6319-64726-0014.wav,impulsive,data/clean/SESA\test\explosion_013.wav,4.32,1.2269375
pair_00307,data/clean/LibriSpeech\dev-clean\6313\66129\6313-66129-0016.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0384.wav,1.47,
pair_00308,data/clean/LibriSpeech\dev-clean\2086\149220\2086-149220-0037.wav,impulsive,data/clean/SESA\train\explosion_107.wav,11.55,0.3200625
pair_00309,data/clean/LibriSpeech\dev-clean\1988\24833\1988-24833-0010.wav,impulsive,data/clean/SESA\train\explosion_138.wav,11.79,1.5131875
pair_00310,data/clean/LibriSpeech\dev-clean\2277\149897\2277-149897-0006.wav,impulsive,data/clean/SESA\train\explosion_082.wav,11.03,0.729875
pair_00311,data/clean/LibriSpeech\dev-clean\5694\64025\5694-64025-0014.wav,impulsive,data/clean/SESA\train\explosion_070.wav,7.95,5.292
pair_00312,data/clean/LibriSpeech\dev-clean\7976\105575\7976-105575-0021.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0210.wav,-4.15,
pair_00313,data/clean/LibriSpeech\dev-clean\5536\43358\5536-43358-0008.wav,mixed,data/clean/musan/noise\sound-bible\noise-sound-bible-0077.wav + data/clean/SESA\train\siren_049.wav,5.11,3.49525
pair_00314,data/clean/LibriSpeech\dev-clean\7976\110523\7976-110523-0009.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0042.wav + data/clean/SESA\train\siren_067.wav,12.75,1.1455625
pair_00315,data/clean/LibriSpeech\dev-clean\1988\24833\1988-24833-0001.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0698.wav + data/clean/SESA\train\siren_031.wav,14.07,2.59375
pair_00316,data/clean/LibriSpeech\dev-clean\777\126732\777-126732-0023.wav,nonstationary,data/clean/musan/music\rfm\music-rfm-0144.wav,3.24,
pair_00317,data/clean/LibriSpeech\dev-clean\1462\170142\1462-170142-0016.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0492.wav,7.08,
pair_00318,data/clean/LibriSpeech\dev-clean\1988\24833\1988-24833-0011.wav,mixed,data/clean/musan/noise\sound-bible\noise-sound-bible-0000.wav + data/clean/SESA\train\explosion_167.wav,6.75,1.167625
pair_00319,data/clean/LibriSpeech\dev-clean\84\121550\84-121550-0000.wav,nonstationary,data/clean/musan/music\rfm\music-rfm-0098.wav,4.97,
pair_00320,data/clean/LibriSpeech\dev-clean\2803\154328\2803-154328-0007.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0598.wav + data/clean/SESA\train\explosion_161.wav,2.4,2.66625
pair_00321,data/clean/LibriSpeech\dev-clean\2428\83699\2428-83699-0018.wav,impulsive,data/clean/SESA\train\siren_017.wav,9.74,7.018125
pair_00322,data/clean/LibriSpeech\dev-clean\2428\83699\2428-83699-0008.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0668.wav,-0.69,
pair_00323,data/clean/LibriSpeech\dev-clean\3081\166546\3081-166546-0004.wav,nonstationary,data/clean/musan/music\rfm\music-rfm-0087.wav,1.87,
pair_00324,data/clean/LibriSpeech\dev-clean\5895\34622\5895-34622-0013.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0056.wav,13.34,
pair_00325,data/clean/LibriSpeech\dev-clean\5694\64038\5694-64038-0001.wav,impulsive,data/clean/SESA\train\explosion_100.wav,7.29,0.637875
pair_00326,data/clean/LibriSpeech\dev-clean\5536\43359\5536-43359-0013.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0447.wav + data/clean/SESA\train\siren_009.wav,-4.96,0.6296875
pair_00327,data/clean/LibriSpeech\dev-clean\1919\142785\1919-142785-0002.wav,impulsive,data/clean/SESA\train\gunshot_069.wav,9.71,6.117875
pair_00328,data/clean/LibriSpeech\dev-clean\5895\34615\5895-34615-0003.wav,impulsive,data/clean/SESA\test\siren_042.wav,-2.1,0.871
pair_00329,data/clean/LibriSpeech\dev-clean\2428\83705\2428-83705-0024.wav,impulsive,data/clean/SESA\train\gunshot_043.wav,1.7,2.0930625
pair_00330,data/clean/LibriSpeech\dev-clean\3000\15664\3000-15664-0016.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0102.wav,8.64,
pair_00331,data/clean/LibriSpeech\dev-clean\2035\147961\2035-147961-0026.wav,impulsive,data/clean/SESA\train\explosion_078.wav,-0.74,1.0638125
pair_00332,data/clean/LibriSpeech\dev-clean\6319\64726\6319-64726-0000.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0747.wav,7.58,
pair_00333,data/clean/LibriSpeech\dev-clean\6241\66616\6241-66616-0011.wav,impulsive,data/clean/SESA\train\siren_056.wav,-1.31,4.8243125
pair_00334,data/clean/LibriSpeech\dev-clean\8297\275154\8297-275154-0015.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0075.wav,-1.52,
pair_00335,data/clean/LibriSpeech\dev-clean\652\129742\652-129742-0005.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0473.wav + data/clean/SESA\train\explosion_148.wav,7.65,1.361125
pair_00336,data/clean/LibriSpeech\dev-clean\174\50561\174-50561-0004.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0142.wav + data/clean/SESA\train\siren_028.wav,6.17,0.368875
pair_00337,data/clean/LibriSpeech\dev-clean\3170\137482\3170-137482-0029.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0565.wav,8.02,
pair_00338,data/clean/LibriSpeech\dev-clean\8842\302201\8842-302201-0011.wav,nonstationary,data/clean/musan/music\fma-western-art\music-fma-wa-0005.wav,-4.51,
pair_00339,data/clean/LibriSpeech\dev-clean\5895\34622\5895-34622-0008.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0238.wav + data/clean/SESA\train\explosion_176.wav,5.54,0.7575625
pair_00340,data/clean/LibriSpeech\dev-clean\1462\170138\1462-170138-0011.wav,impulsive,data/clean/SESA\train\gunshot_034.wav,14.23,1.926625
pair_00341,data/clean/LibriSpeech\dev-clean\3752\4943\3752-4943-0004.wav,impulsive,data/clean/SESA\train\explosion_024.wav,9.02,0.3799375
pair_00342,data/clean/LibriSpeech\dev-clean\3853\163249\3853-163249-0053.wav,nonstationary,data/clean/musan/music\fma-western-art\music-fma-wa-0083.wav,13.09,
pair_00343,data/clean/LibriSpeech\dev-clean\6241\61946\6241-61946-0010.wav,nonstationary,data/clean/musan/music\hd-classical\music-hd-0002.wav,4.83,
pair_00344,data/clean/LibriSpeech\dev-clean\3170\137482\3170-137482-0004.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0092.wav,3.33,
pair_00345,data/clean/LibriSpeech\dev-clean\1272\135031\1272-135031-0006.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0651.wav,14.12,
pair_00346,data/clean/LibriSpeech\dev-clean\7976\105575\7976-105575-0012.wav,impulsive,data/clean/SESA\train\explosion_132.wav,10.81,0.264625
pair_00347,data/clean/LibriSpeech\dev-clean\2428\83699\2428-83699-0038.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0223.wav,6.07,
pair_00348,data/clean/LibriSpeech\dev-clean\3170\137482\3170-137482-0045.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0714.wav,6.76,
pair_00349,data/clean/LibriSpeech\dev-clean\1272\141231\1272-141231-0032.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0749.wav + data/clean/SESA\train\explosion_116.wav,1.4,1.050875
pair_00350,data/clean/LibriSpeech\dev-clean\777\126732\777-126732-0025.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0376.wav + data/clean/SESA\train\explosion_056.wav,0.21,1.714875
pair_00351,data/clean/LibriSpeech\dev-clean\3752\4944\3752-4944-0029.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0253.wav + data/clean/SESA\train\explosion_177.wav,4.72,0.9345625
pair_00352,data/clean/LibriSpeech\dev-clean\7976\105575\7976-105575-0027.wav,impulsive,data/clean/SESA\train\siren_070.wav,1.68,0.2235625
pair_00353,data/clean/LibriSpeech\dev-clean\7850\73752\7850-73752-0018.wav,stationary,data/clean/musan/noise\sound-bible\noise-sound-bible-0083.wav,3.08,
pair_00354,data/clean/LibriSpeech\dev-clean\2277\149897\2277-149897-0014.wav,nonstationary,data/clean/musan/music\rfm\music-rfm-0021.wav,13.44,
pair_00355,data/clean/LibriSpeech\dev-clean\777\126732\777-126732-0073.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0762.wav + data/clean/SESA\test\explosion_085.wav,-2.2,0.3585
pair_00356,data/clean/LibriSpeech\dev-clean\84\121123\84-121123-0022.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0275.wav,-4.8,
pair_00357,data/clean/LibriSpeech\dev-clean\2078\142845\2078-142845-0042.wav,nonstationary,data/clean/musan/music\fma\music-fma-0074.wav,-1.9,
pair_00358,data/clean/LibriSpeech\dev-clean\2902\9008\2902-9008-0003.wav,nonstationary,data/clean/musan/music\fma\music-fma-0083.wav,13.0,
pair_00359,data/clean/LibriSpeech\dev-clean\2803\154328\2803-154328-0023.wav,impulsive,data/clean/SESA\train\explosion_078.wav,0.34,2.2851875
pair_00360,data/clean/LibriSpeech\dev-clean\777\126732\777-126732-0078.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0206.wav,8.28,
pair_00361,data/clean/LibriSpeech\dev-clean\1988\147956\1988-147956-0006.wav,mixed,data/clean/musan/noise\sound-bible\noise-sound-bible-0045.wav + data/clean/SESA\train\explosion_097.wav,9.99,1.27325
pair_00362,data/clean/LibriSpeech\dev-clean\5536\43359\5536-43359-0005.wav,impulsive,data/clean/SESA\train\explosion_138.wav,1.61,2.1654375
pair_00363,data/clean/LibriSpeech\dev-clean\422\122949\422-122949-0015.wav,impulsive,data/clean/SESA\test\gunshot_019.wav,8.44,3.9055625
pair_00364,data/clean/LibriSpeech\dev-clean\8297\275156\8297-275156-0010.wav,impulsive,data/clean/SESA\train\explosion_080.wav,-3.62,4.5786875
pair_00365,data/clean/LibriSpeech\dev-clean\1462\170138\1462-170138-0015.wav,mixed,data/clean/musan/noise\sound-bible\noise-sound-bible-0018.wav + data/clean/SESA\train\gunshot_015.wav,3.3,1.428
pair_00366,data/clean/LibriSpeech\dev-clean\5895\34622\5895-34622-0018.wav,stationary,data/clean/musan/noise\sound-bible\noise-sound-bible-0034.wav,-3.66,
pair_00367,data/clean/LibriSpeech\dev-clean\1272\135031\1272-135031-0021.wav,nonstationary,data/clean/musan/music\rfm\music-rfm-0069.wav,11.0,
pair_00368,data/clean/LibriSpeech\dev-clean\7976\105575\7976-105575-0002.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0811.wav,14.11,
pair_00369,data/clean/LibriSpeech\dev-clean\1919\142785\1919-142785-0055.wav,nonstationary,data/clean/musan/music\hd-classical\music-hd-0036.wav,3.59,
pair_00370,data/clean/LibriSpeech\dev-clean\6295\64301\6295-64301-0024.wav,nonstationary,data/clean/musan/music\rfm\music-rfm-0017.wav,10.66,
pair_00371,data/clean/LibriSpeech\dev-clean\3752\4943\3752-4943-0017.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0701.wav + data/clean/SESA\train\siren_028.wav,3.33,0.92275
pair_00372,data/clean/LibriSpeech\dev-clean\1462\170138\1462-170138-0020.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0740.wav + data/clean/SESA\test\siren_071.wav,2.37,0.06225
pair_00373,data/clean/LibriSpeech\dev-clean\6313\76958\6313-76958-0030.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0130.wav,-0.97,
pair_00374,data/clean/LibriSpeech\dev-clean\2277\149874\2277-149874-0001.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0015.wav,3.37,
pair_00375,data/clean/LibriSpeech\dev-clean\777\126732\777-126732-0054.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0031.wav + data/clean/SESA\test\gunshot_072.wav,1.93,0.904875
pair_00376,data/clean/LibriSpeech\dev-clean\3081\166546\3081-166546-0059.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0000.wav,14.01,
pair_00377,data/clean/LibriSpeech\dev-clean\3170\137482\3170-137482-0038.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0694.wav,0.47,
pair_00378,data/clean/LibriSpeech\dev-clean\84\121123\84-121123-0021.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0410.wav + data/clean/SESA\test\explosion_147.wav,-3.99,0.4024375
pair_00379,data/clean/LibriSpeech\dev-clean\2078\142845\2078-142845-0008.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0781.wav + data/clean/SESA\train\explosion_175.wav,8.54,3.0250625
pair_00380,data/clean/LibriSpeech\dev-clean\3853\163249\3853-163249-0040.wav,impulsive,data/clean/SESA\train\siren_081.wav,7.48,1.4299375
pair_00381,data/clean/LibriSpeech\dev-clean\777\126732\777-126732-0057.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0019.wav,1.4,
pair_00382,data/clean/LibriSpeech\dev-clean\3853\163249\3853-163249-0013.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0222.wav,13.76,
pair_00383,data/clean/LibriSpeech\dev-clean\6313\76958\6313-76958-0016.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0401.wav,3.49,
pair_00384,data/clean/LibriSpeech\dev-clean\652\130726\652-130726-0020.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0571.wav,3.2,
pair_00385,data/clean/LibriSpeech\dev-clean\5694\64038\5694-64038-0005.wav,nonstationary,data/clean/musan/music\fma-western-art\music-fma-wa-0079.wav,6.74,
pair_00386,data/clean/LibriSpeech\dev-clean\5536\43363\5536-43363-0018.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0630.wav,13.94,
pair_00387,data/clean/LibriSpeech\dev-clean\6241\61946\6241-61946-0002.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0267.wav,1.05,
pair_00388,data/clean/LibriSpeech\dev-clean\3752\4943\3752-4943-0014.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0151.wav,-4.93,
pair_00389,data/clean/LibriSpeech\dev-clean\84\121123\84-121123-0010.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0154.wav,-3.86,
pair_00390,data/clean/LibriSpeech\dev-clean\6319\57405\6319-57405-0006.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0109.wav,6.36,
pair_00391,data/clean/LibriSpeech\dev-clean\3081\166546\3081-166546-0071.wav,mixed,data/clean/musan/noise\sound-bible\noise-sound-bible-0001.wav + data/clean/SESA\train\explosion_023.wav,8.24,0.2156875
pair_00392,data/clean/LibriSpeech\dev-clean\1673\143397\1673-143397-0009.wav,impulsive,data/clean/SESA\train\siren_070.wav,-0.21,1.636125
pair_00393,data/clean/LibriSpeech\dev-clean\8297\275156\8297-275156-0008.wav,impulsive,data/clean/SESA\test\explosion_063.wav,-3.45,2.091875
pair_00394,data/clean/LibriSpeech\dev-clean\2277\149896\2277-149896-0030.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0165.wav + data/clean/SESA\train\siren_002.wav,1.69,1.895
pair_00395,data/clean/LibriSpeech\dev-clean\2902\9006\2902-9006-0012.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0834.wav,12.03,
pair_00396,data/clean/LibriSpeech\dev-clean\3576\138058\3576-138058-0017.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0007.wav,3.83,
pair_00397,data/clean/LibriSpeech\dev-clean\7850\111771\7850-111771-0004.wav,impulsive,data/clean/SESA\train\siren_076.wav,-1.51,7.073875
pair_00398,data/clean/LibriSpeech\dev-clean\84\121550\84-121550-0020.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0184.wav,12.44,
pair_00399,data/clean/LibriSpeech\dev-clean\5895\34629\5895-34629-0022.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0824.wav + data/clean/SESA\test\explosion_123.wav,11.93,0.181625
pair_00400,data/clean/LibriSpeech\dev-clean\3081\166546\3081-166546-0013.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0601.wav + data/clean/SESA\train\explosion_166.wav,9.05,1.3116875
pair_00401,data/clean/LibriSpeech\dev-clean\6345\93302\6345-93302-0006.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0550.wav + data/clean/SESA\train\siren_037.wav,11.98,1.528875
pair_00402,data/clean/LibriSpeech\dev-clean\5338\24615\5338-24615-0012.wav,impulsive,data/clean/SESA\train\explosion_106.wav,10.79,0.245375
pair_00403,data/clean/LibriSpeech\dev-clean\2902\9006\2902-9006-0014.wav,impulsive,data/clean/SESA\train\siren_069.wav,12.22,4.9060625
pair_00404,data/clean/LibriSpeech\dev-clean\251\118436\251-118436-0021.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0186.wav,0.5,
pair_00405,data/clean/LibriSpeech\dev-clean\6319\275224\6319-275224-0002.wav,nonstationary,data/clean/musan/music\rfm\music-rfm-0009.wav,1.83,
pair_00406,data/clean/LibriSpeech\dev-clean\3170\137482\3170-137482-0037.wav,nonstationary,data/clean/musan/music\rfm\music-rfm-0088.wav,-4.37,
pair_00407,data/clean/LibriSpeech\dev-clean\6313\66125\6313-66125-0006.wav,impulsive,data/clean/SESA\train\explosion_024.wav,4.85,1.2653125
pair_00408,data/clean/LibriSpeech\dev-clean\8842\302203\8842-302203-0007.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0237.wav + data/clean/SESA\train\explosion_152.wav,-4.14,0.9400625
pair_00409,data/clean/LibriSpeech\dev-clean\1993\147149\1993-147149-0006.wav,nonstationary,data/clean/musan/music\rfm\music-rfm-0080.wav,12.5,
pair_00410,data/clean/LibriSpeech\dev-clean\5694\64025\5694-64025-0007.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0739.wav + data/clean/SESA\train\explosion_069.wav,7.25,1.625
pair_00411,data/clean/LibriSpeech\dev-clean\6345\64257\6345-64257-0007.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0115.wav,14.57,
pair_00412,data/clean/LibriSpeech\dev-clean\7976\105575\7976-105575-0014.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0234.wav,3.82,
pair_00413,data/clean/LibriSpeech\dev-clean\2902\9006\2902-9006-0003.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0036.wav,10.15,
pair_00414,data/clean/LibriSpeech\dev-clean\777\126732\777-126732-0040.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0206.wav,-0.37,
pair_00415,data/clean/LibriSpeech\dev-clean\422\122949\422-122949-0007.wav,impulsive,data/clean/SESA\test\gunshot_041.wav,13.16,2.8459375
pair_00416,data/clean/LibriSpeech\dev-clean\652\130726\652-130726-0030.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0518.wav,-4.82,
pair_00417,data/clean/LibriSpeech\dev-clean\1988\148538\1988-148538-0015.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0327.wav + data/clean/SESA\train\explosion_142.wav,3.48,4.0104375
pair_00418,data/clean/LibriSpeech\dev-clean\1462\170145\1462-170145-0002.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0667.wav,5.77,
pair_00419,data/clean/LibriSpeech\dev-clean\3536\8226\3536-8226-0025.wav,impulsive,data/clean/SESA\train\explosion_125.wav,6.81,0.7725625
pair_00420,data/clean/LibriSpeech\dev-clean\7850\111771\7850-111771-0000.wav,impulsive,data/clean/SESA\train\explosion_165.wav,5.28,0.925125
pair_00421,data/clean/LibriSpeech\dev-clean\3752\4944\3752-4944-0062.wav,impulsive,data/clean/SESA\test\gunshot_063.wav,11.8,0.8229375
pair_00422,data/clean/LibriSpeech\dev-clean\2078\142845\2078-142845-0010.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0038.wav,10.81,
pair_00423,data/clean/LibriSpeech\dev-clean\777\126732\777-126732-0045.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0236.wav + data/clean/SESA\train\siren_101.wav,14.74,1.7096875
pair_00424,data/clean/LibriSpeech\dev-clean\8842\304647\8842-304647-0010.wav,impulsive,data/clean/SESA\train\gunshot_025.wav,1.39,8.342375
pair_00425,data/clean/LibriSpeech\dev-clean\3081\166546\3081-166546-0008.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0250.wav + data/clean/SESA\train\explosion_105.wav,13.73,0.824875
pair_00426,data/clean/LibriSpeech\dev-clean\6345\64257\6345-64257-0018.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0588.wav + data/clean/SESA\train\siren_098.wav,10.01,0.1729375
pair_00427,data/clean/LibriSpeech\dev-clean\2902\9006\2902-9006-0017.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0545.wav + data/clean/SESA\test\explosion_123.wav,7.71,2.2250625
pair_00428,data/clean/LibriSpeech\dev-clean\2277\149897\2277-149897-0019.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0387.wav,-0.86,
pair_00429,data/clean/LibriSpeech\dev-clean\3576\138058\3576-138058-0027.wav,nonstationary,data/clean/musan/music\fma\music-fma-0039.wav,1.47,
pair_00430,data/clean/LibriSpeech\dev-clean\652\129742\652-129742-0019.wav,nonstationary,data/clean/musan/music\fma\music-fma-0002.wav,-1.55,
pair_00431,data/clean/LibriSpeech\dev-clean\8842\304647\8842-304647-0009.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0124.wav + data/clean/SESA\train\siren_008.wav,12.78,0.153375
pair_00432,data/clean/LibriSpeech\dev-clean\2035\147961\2035-147961-0016.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0655.wav + data/clean/SESA\test\gunshot_041.wav,-0.31,0.3463125
pair_00433,data/clean/LibriSpeech\dev-clean\2035\147961\2035-147961-0014.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0142.wav,10.76,
pair_00434,data/clean/LibriSpeech\dev-clean\7976\110124\7976-110124-0018.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0313.wav,5.96,
pair_00435,data/clean/LibriSpeech\dev-clean\7850\73752\7850-73752-0017.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0809.wav,-3.94,
pair_00436,data/clean/LibriSpeech\dev-clean\3170\137482\3170-137482-0008.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0716.wav,-0.97,
pair_00437,data/clean/LibriSpeech\dev-clean\6295\244435\6295-244435-0023.wav,nonstationary,data/clean/musan/music\fma\music-fma-0073.wav,8.64,
pair_00438,data/clean/LibriSpeech\dev-clean\2035\147961\2035-147961-0016.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0258.wav + data/clean/SESA\train\explosion_032.wav,8.14,0.23925
pair_00439,data/clean/LibriSpeech\dev-clean\8842\302203\8842-302203-0002.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0138.wav,2.26,
pair_00440,data/clean/LibriSpeech\dev-clean\5895\34622\5895-34622-0007.wav,impulsive,data/clean/SESA\train\gunshot_070.wav,-0.42,1.431
pair_00441,data/clean/LibriSpeech\dev-clean\2277\149896\2277-149896-0011.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0799.wav,5.68,
pair_00442,data/clean/LibriSpeech\dev-clean\1993\147149\1993-147149-0006.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0455.wav + data/clean/SESA\train\gunshot_081.wav,6.13,9.801375
pair_00443,data/clean/LibriSpeech\dev-clean\2035\152373\2035-152373-0008.wav,mixed,data/clean/musan/noise\sound-bible\noise-sound-bible-0005.wav + data/clean/SESA\train\explosion_124.wav,6.39,0.2681875
pair_00444,data/clean/LibriSpeech\dev-clean\3000\15664\3000-15664-0041.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0623.wav,14.21,
pair_00445,data/clean/LibriSpeech\dev-clean\6313\66129\6313-66129-0021.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0102.wav,2.45,
pair_00446,data/clean/LibriSpeech\dev-clean\6345\64257\6345-64257-0014.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0025.wav,2.42,
pair_00447,data/clean/LibriSpeech\dev-clean\3752\4943\3752-4943-0007.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0098.wav,-1.39,
